review_text,rating,date,clean_review,baseline_sentiment,translated_review
very poor ànd slow work I don't like it app not a faster I am not interested moru app....,1,2025-04-22 02:37:31,very poor nd slow work i dont like it app not a faster i am not interested moru app,Bad,very poor nd slow work i dont like it app not a faster i am not interested moru app
wow amazing app,4,2025-04-21 17:33:30,wow amazing app,Good,wow amazing app
good 👍,5,2025-04-20 12:12:07,good,Good,good
ramro aap xa ta truse me yo app ramro xa🥰,1,2025-04-14 00:10:18,ramro aap xa ta truse me yo app ramro xa,Bad,ramro aap xa test me and the app ramro xa
very userfrindly and hidden ge,5,2025-04-12 22:51:35,very userfrindly and hidden ge,Good,very userfrindly and hidden ge
very good app,5,2025-03-17 18:17:01,very good app,Good,very good app
Good 👍 wallet,5,2025-03-11 22:08:23,good wallet,Good,good wallet
supper,5,2025-03-11 12:11:08,supper,Good,supper
Only using for onexb*t 😘,5,2025-03-07 19:51:00,only using for onexbt,Good,only using for onexbt
👍 good,5,2025-03-05 11:24:53,good,Good,good
EXCELLENT SERVICE,5,2025-03-02 10:25:44,excellent service,Good,excellent service
Till date the application is good to use with no hassle 😊😊,4,2025-03-01 15:45:17,till date the application is good to use with no hassle,Good,till date the application is good to use with no hassle
E-sewa is not working 😞😞😞😞😞,1,2025-02-20 20:14:16,esewa is not working,Bad,esewa is not working
Very easy to use and a trusted e-wallet in Nepal.,5,2025-02-10 14:21:40,very easy to use and a trusted ewallet in nepal,Good,very easy to use and a trusted ewallet in nepal
aru digital wallet ma jasto kyc verification ko lagi dherai jhanjhat xaina esewa khalti ime pay sabai try gareko thiye tar tiniharuma kyc verification garna sarai nai garho bhayo kaile document clear bhayena bhaner kyc verify nagarne kaile purano I'd ma use bhaisakeko xa bhanne jab ki Mero document ko photo Pani clear thiyo ra purano number Pani block bhaisakeko thiyo tyati Huda Pani kyc ko firm khali rejected tar Moru app ma yasto bhayena kyc update Pani ramro sanga bhayo thank you Moru,5,2025-02-08 10:34:06,aru digital wallet ma jasto kyc verification ko lagi dherai jhanjhat xaina esewa khalti ime pay sabai try gareko thiye tar tiniharuma kyc verification garna sarai nai garho bhayo kaile document clear bhayena bhaner kyc verify nagarne kaile purano id ma use bhaisakeko xa bhanne jab ki mero document ko photo pani clear thiyo ra purano number pani block bhaisakeko thiyo tyati huda pani kyc ko firm khali rejected tar moru app ma yasto bhayena kyc update pani ramro sanga bhayo thank you moru,Good,"How to get KYC verification done in digital wallet, once the online service stops, try to get KYC verification done as soon as possible, how many documents can be cleared without KYC verification, how many old IDs can be used to verify the KYC, when the photo of my document is cleared, the old number is blocked and KYC is rejected.moru app ma yasto bhayena kyc update pani ramro sanga bhayo thank you moru"
Good,3,2025-02-05 10:12:36,good,Neutral,good
nice wallet,5,2025-01-22 11:25:50,nice wallet,Good,nice wallet
Smooth apps for transactions in Nepal,5,2025-01-18 17:40:02,smooth apps for transactions in nepal,Good,smooth apps for transactions in nepal
"Wow, Amazing. The features are Good and Bank transfer is free of charge . We also can get bonus From transcation . THIS IS INSANELY GOOD. THANK YOU FOR THIS AMAZING APPLICATION. KEEP GOING MORU ...",5,2025-01-17 19:30:08,wow amazing the features are good and bank transfer is free of charge we also can get bonus from transcation this is insanely good thank you for this amazing application keep going moru,Good,wow amazing the features are good and bank transfer is free of charge we also can get bonus from transcation this is insanely good thank you for this amazing application keep going moru
nice app,5,2025-01-13 11:32:20,nice app,Good,nice app
❤️,5,2025-01-12 20:22:34,,Good,NaN
good app,5,2025-01-04 20:32:04,good app,Good,good app
Scammer,1,2024-12-30 16:50:45,scammer,Bad,scammer
nice,5,2024-12-29 16:13:58,nice,Good,nice
good facilities and vip incentives 🙏💚,5,2024-12-26 12:33:55,good facilities and vip incentives,Good,good facilities and vip incentives
this app is good but this app doesn't have machhapuchchhre bank link 🔗 option 🔗🥹🥹🤲🤲,1,2024-12-25 22:42:42,this app is good but this app doesnt have machhapuchchhre bank link option,Bad,this app is good but this app doesnt have machhapuchchhre bank link option
Good nepali wallet.topup cashback is very nice.,5,2024-12-25 19:05:16,good nepali wallettopup cashback is very nice,Good,good nepali wallettopup cashback is very nice
not usefull,1,2024-12-24 22:42:04,not usefull,Bad,not usefull
exactly excellent,5,2024-12-17 11:34:04,exactly excellent,Good,exactly excellent
Careless. Costumer lai ghumauna matra aauxa.,1,2024-12-10 22:24:12,careless costumer lai ghumauna matra aauxa,Bad,A careless customer is just a wanderer.
okay,5,2024-12-07 12:36:01,okay,Good,okay
This is truly awesome 🌿🌿,5,2024-12-05 12:17:29,this is truly awesome,Good,this is truly awesome
Exciting Cashback from Moru.,5,2024-12-01 06:33:12,exciting cashback from moru,Good,exciting cashback from moru
"nice and useful ,convinient",4,2024-11-25 18:02:18,nice and useful convinient,Good,nice and useful convinient
good appp and 5 ster,5,2024-11-20 19:58:09,good appp and ster,Good,good appp and ster
Good working,5,2024-11-14 16:15:28,good working,Good,good working
good very good inventions,2,2024-11-11 14:59:22,good very good inventions,Bad,good very good inventions
nice,5,2024-10-30 05:44:45,nice,Good,nice
😍😍,5,2024-10-23 17:01:27,,Good,NaN
Moru digital wallet is good app .l like and love it because it gives bonus in each topup pay bills data pack etc.,5,2024-10-19 20:51:44,moru digital wallet is good app l like and love it because it gives bonus in each topup pay bills data pack etc,Good,moru digital wallet is good app l like and love it because it gives bonus in each topup pay bills data pack etc
ok,5,2024-10-17 11:51:35,ok,Good,ok
good wallet,5,2024-10-13 11:04:23,good wallet,Good,good wallet
good 👍,5,2024-10-06 21:44:15,good,Good,good
This is just an amazing apps. This app's qr need to accept payment from mobile banking app 🙏,5,2024-10-02 19:51:14,this is just an amazing apps this apps qr need to accept payment from mobile banking app,Good,this is just an amazing apps this apps qr need to accept payment from mobile banking app
Good,4,2024-10-02 18:09:04,good,Good,good
Everything is good but we are unable to receive money from other wallet. So please add the feature to receive money from other wallet and introduce smart QR that can be accepted by other wallets,4,2024-09-23 20:43:01,everything is good but we are unable to receive money from other wallet so please add the feature to receive money from other wallet and introduce smart qr that can be accepted by other wallets,Good,everything is good but we are unable to receive money from other wallet so please add the feature to receive money from other wallet and introduce smart qr that can be accepted by other wallets
nice,5,2024-09-13 19:30:20,nice,Good,nice
nice,5,2024-09-11 09:42:45,nice,Good,nice
Nice,3,2024-09-05 08:58:44,nice,Neutral,nice
"Weak security, got hacked, lost all money.",1,2024-08-29 17:44:09,weak security got hacked lost all money,Bad,weak security got hacked lost all money
Worst wallet blc load garda blc nai aaudina,1,2024-08-26 07:39:57,worst wallet blc load garda blc nai aaudina,Bad,worst wallet blc load garda blc nai aaudina
good,4,2024-08-25 20:48:59,good,Good,good
best,5,2024-08-18 14:21:08,best,Good,best
Ma yes Lai 1 star dinxu guys refer garyako paisa nai didaina Rs 4 ta ani tapai Haru thulo transition KO lagii kasrii trust garnu hunxa Rs 4 Rs 6 ta di rakhayako xaina ani refer offer chai lagyako xa 😡,1,2024-08-17 15:47:14,ma yes lai star dinxu guys refer garyako paisa nai didaina rs ta ani tapai haru thulo transition ko lagii kasrii trust garnu hunxa rs rs ta di rakhayako xaina ani refer offer chai lagyako xa,Bad,Then the stewsemer and asked me to take the door. Don't be afraid or not. Don't take my peace.
Better than esewa and khalti..,5,2024-08-17 10:39:02,better than esewa and khalti,Good,better than esewa and khalti
If I could give a negative star then I would paisa load nai vayena,1,2024-08-15 08:40:48,if i could give a negative star then i would paisa load nai vayena,Bad,if i could give a negative star then i would paisa load nai vayena
best wallet,5,2024-08-11 14:18:04,best wallet,Good,best wallet
"Ma moru Dainik prayog kartaa hu, moru payment send successful pach announcement garcha ni tyo ekdam ramro lagcha. Tara, minimum bank transfer chai 200 kina? Yaslai ghataera customise garnuhos kina ki sano sano Rakam Pani bankma jamma garna (pathauna) sakiyos. (Baki rating pachi bichar garaula) Thank you.",3,2024-08-02 01:33:59,ma moru dainik prayog kartaa hu moru payment send successful pach announcement garcha ni tyo ekdam ramro lagcha tara minimum bank transfer chai kina yaslai ghataera customise garnuhos kina ki sano sano rakam pani bankma jamma garna pathauna sakiyos baki rating pachi bichar garaula thank you,Neutral,ma moru dainik prayog kartaa hu moru payment send successful pach announcement garcha ni tyo ekdam ramro lagcha tara minimum bank transfer chai kina yaslai ghataera customize garnuhos kina ki sano sano rakam pani bankma jamma garna pathauna sakiyos baki rating pachi bichar garaula thank you
"How to say that this app is good, everyone should use this app",5,2024-07-30 22:03:50,how to say that this app is good everyone should use this app,Good,how to say that this app is good everyone should use this app
good,1,2024-07-28 06:21:26,good,Bad,good
Nice 👍👍👍👍,4,2024-07-25 12:37:46,nice,Good,nice
best,5,2024-07-19 07:08:47,best,Good,best
"I got a 3% bonus on my top-up, and the payout feature is really useful.",5,2024-07-16 15:31:14,i got a bonus on my topup and the payout feature is really useful,Good,i got a bonus on my topup and the payout feature is really useful
Very nice cash back.Im continue using the moru wallet.i like it love you moru.,5,2024-07-11 14:23:08,very nice cash backim continue using the moru walleti like it love you moru,Good,very nice cash backim continue using the moru walleti like it love you moru
good wallet,5,2024-07-08 17:11:59,good wallet,Good,good wallet
Very good keep it up,5,2024-07-07 20:27:33,very good keep it up,Good,very good keep it up
I love this app,5,2024-07-01 09:33:54,i love this app,Good,i love this app
best app love you topup cash 3% many wallet trancefer,3,2024-06-29 10:58:03,best app love you topup cash many wallet trancefer,Neutral,best app love you topup cash many wallet trancefer
Easy to load & richarge this is awesome app !,5,2024-06-14 10:34:11,easy to load richarge this is awesome app,Good,easy to load richarge this is awesome app
good but add all the banks to link and to load,5,2024-06-07 08:29:17,good but add all the banks to link and to load,Good,good but add all the banks to link and to load
good,4,2024-06-01 10:13:47,good,Good,good
Didn't singup work,2,2024-05-31 16:58:06,didnt singup work,Bad,didnt singup work
"Moru Pay is a great application, it is very beneficial for the general public to do business with each other.",4,2024-05-29 12:44:12,moru pay is a great application it is very beneficial for the general public to do business with each other,Good,moru pay is a great application it is very beneficial for the general public to do business with each other
nice,4,2024-05-20 17:57:52,nice,Good,nice
everything is going well.,5,2024-05-19 16:41:55,everything is going well,Good,everything is going well
nice,5,2024-05-01 21:12:50,nice,Good,nice
good,5,2024-05-01 16:15:26,good,Good,good
qr not velid,5,2024-04-23 12:12:01,qr not velid,Good,qr not velid
nice,5,2024-04-20 13:37:08,nice,Good,nice
Nice one,5,2024-03-29 20:59:04,nice one,Good,nice one
good,5,2024-03-24 14:04:19,good,Good,good
great app,5,2024-03-20 20:43:21,great app,Good,great app
Top up garnako lagi sabaivanda ramro cashback pain painxa Malaita moru pay dherai ramro lagewo,5,2024-03-04 18:40:59,top up garnako lagi sabaivanda ramro cashback pain painxa malaita moru pay dherai ramro lagewo,Good,Top Up Garanko Lagi Subevent Ramro Cashback Pain Painksh Malait Moru Pe Dherai Ramro Lagavo
It's useful and awesome.,5,2024-02-06 02:57:43,its useful and awesome,Good,its useful and awesome
Great moru,1,2024-01-28 11:22:24,great moru,Bad,great moru
Great apo,5,2024-01-26 21:29:36,great apo,Good,great apo
This app deserves 5 star but in my general experience of using in day to day life I faced problem while doing transactions because you have not because Fonepay is not your partner which leading in Nepal so please try to connect it with Fonepay for indigenous experience,3,2024-01-25 05:56:13,this app deserves star but in my general experience of using in day to day life i faced problem while doing transactions because you have not because fonepay is not your partner which leading in nepal so please try to connect it with fonepay for indigenous experience,Neutral,this app deserves star but in my general experience of using in day to day life i faced problem while doing transactions because you have not because fonepay is not your partner which leading in nepal so please try to connect it with fonepay for indigenous experience
Good to use,5,2024-01-21 22:04:04,good to use,Good,good to use
love it by its feature,5,2023-12-30 20:16:29,love it by its feature,Good,love it by its feature
Good app,5,2023-12-27 23:14:11,good app,Good,good app
Good,5,2023-12-25 17:19:29,good,Good,good
useful wallet,4,2023-12-22 11:29:04,useful wallet,Good,useful wallet
The security of moru app is not good it create more problems while doing transactions of money while sending and login problems The security of biometric is not working in app and creating alot of problems please increase amount from 2 rupees to 25 to join more members in moru app 🙏,3,2023-12-19 07:58:27,the security of moru app is not good it create more problems while doing transactions of money while sending and login problems the security of biometric is not working in app and creating alot of problems please increase amount from rupees to to join more members in moru app,Neutral,the security of moru app is not good it create more problems while doing transactions of money while sending and login problems the security of biometric is not working in app and creating alot of problems please increase amount from rupees to to join more members in moru app
good,5,2023-12-01 13:50:11,good,Good,good
Very good service,5,2023-10-30 19:01:27,very good service,Good,very good service
thikai chha not bad,3,2023-10-29 21:18:54,thikai chha not bad,Neutral,thick note bad
upto scam,1,2023-10-21 22:56:40,upto scam,Bad,upto scam
ok,5,2023-10-18 10:11:41,ok,Good,ok
Theres no proper response to customer.,1,2023-10-11 11:05:56,theres no proper response to customer,Bad,theres no proper response to customer
nice 👍👍👍👍👍,3,2023-10-07 08:33:41,nice,Neutral,nice
Good,5,2023-10-06 08:35:23,good,Good,good
very nice app,5,2023-10-03 12:57:43,very nice app,Good,very nice app
excellent,5,2023-10-03 12:52:05,excellent,Good,excellent
Good apps,5,2023-09-16 19:02:40,good apps,Good,good apps
good apps,5,2023-09-07 16:08:40,good apps,Good,good apps
Best wallet in nepal,5,2023-09-07 11:29:51,best wallet in nepal,Good,best wallet in nepal
Needs to add more utilities,3,2023-08-29 23:40:25,needs to add more utilities,Neutral,needs to add more utilities
good,2,2023-08-21 13:21:27,good,Bad,good
Sir citizens bank 🔗 Link garnu,5,2023-08-18 16:17:01,sir citizens bank link garnu,Good,sir citizens bank link garnu
good wallet,5,2023-08-16 07:14:27,good wallet,Good,good wallet
brilliant,5,2023-08-14 10:43:43,brilliant,Good,brilliant
good,5,2023-08-12 11:39:51,good,Good,good
good and best service of customer,5,2023-08-06 06:15:20,good and best service of customer,Good,good and best service of customer
very good,5,2023-08-02 17:18:40,very good,Good,very good
One of the top best wallet at nepal so all people use this app👍👍👍👍,5,2023-07-24 11:39:35,one of the top best wallet at nepal so all people use this app,Good,one of the top best wallet at nepal so all people use this app
Great mobile wallet. But has limited bank link options.,5,2023-07-17 22:48:15,great mobile wallet but has limited bank link options,Good,great mobile wallet but has limited bank link options
One of the best wallet app in nepal which i ever use and seen This app is very useful for mobile topup .,5,2023-07-10 22:22:58,one of the best wallet app in nepal which i ever use and seen this app is very useful for mobile topup,Good,one of the best wallet app in nepal which i ever use and seen this app is very useful for mobile topup
"Bank haru sang link hunu paryo ajh jhan balyo banaunu paryo,Ani offer haru lyaunu paryo",5,2023-07-09 22:02:12,bank haru sang link hunu paryo ajh jhan balyo banaunu paryoani offer haru lyaunu paryo,Good,Bank Haru Sang Link Hunu Paryo Azh Jhan Boyo Banani Paryojani Offer Haru Laanu Paryo
Best wallet for nepal,5,2023-07-07 20:10:15,best wallet for nepal,Good,best wallet for nepal
nice very helpful app,5,2023-07-04 12:19:22,nice very helpful app,Good,nice very helpful app
बबाल,5,2023-07-01 10:04:05,बबाल,Good,babal
good for mobile topup,4,2023-06-30 01:06:50,good for mobile topup,Good,good for mobile topup
i like it,5,2023-06-22 14:47:44,i like it,Good,i like it
Like,5,2023-06-22 10:24:39,like,Good,like
nice 👍👍👍,5,2023-06-19 17:25:02,nice,Good,nice
that is bestapp,4,2023-06-08 18:02:19,that is bestapp,Good,that is bestapp
Just scam didn't give refer,1,2023-06-05 22:18:55,just scam didnt give refer,Bad,just scam didnt give refer
One of the best wallets with no exaggeration yet committed to customers!!,5,2023-06-05 22:11:39,one of the best wallets with no exaggeration yet committed to customers,Good,one of the best wallets with no exaggeration yet committed to customers
it a magic app,5,2023-06-03 12:11:59,it a magic app,Good,it a magic app
Nice wallet,3,2023-05-28 11:58:02,nice wallet,Neutral,nice wallet
MD Faisal Sale,5,2023-05-27 01:38:14,md faisal sale,Good,md faisal sale
Nice app,3,2023-05-26 20:04:53,nice app,Neutral,nice app
ok,1,2023-05-12 19:49:46,ok,Bad,ok
nice sir my favorite,5,2023-05-12 18:37:26,nice sir my favorite,Good,nice sir my favorite
This wallet solved my problems that others didn't,5,2023-05-08 15:27:17,this wallet solved my problems that others didnt,Good,this wallet solved my problems that others didnt
Worst customer service.,1,2023-05-02 21:45:04,worst customer service,Bad,worst customer service
wow verry nich,4,2023-05-02 15:34:27,wow verry nich,Good,wow verry of them
Excellent Service,5,2023-04-28 18:01:03,excellent service,Good,excellent service
goooood,5,2023-04-28 08:55:27,goooood,Good,goooood
good service,5,2023-04-26 10:51:31,good service,Good,good service
best wallet,5,2023-04-24 19:43:11,best wallet,Good,best wallet
"Nepal ma Dherai wallet chan,Euta bhata Arko ma payment garna Ali garo Cha jasto lagcha,Unified tarika le chalne bhaya ramro hunthyo ki,",5,2023-04-22 18:47:48,nepal ma dherai wallet chaneuta bhata arko ma payment garna ali garo cha jasto lagchaunified tarika le chalne bhaya ramro hunthyo ki,Good,"In Nepal, you can make payments through wallets in the form of payments, and you can use them as a feed."
nice,3,2023-04-03 10:24:17,nice,Neutral,nice
Worst customer support rude and irresponsible. Not responding on whatsapp and mail.,1,2023-03-26 11:14:30,worst customer support rude and irresponsible not responding on whatsapp and mail,Bad,worst customer support rude and irresponsible not responding on whatsapp and mail
Exclusively Best Wallet,5,2023-03-25 09:47:15,exclusively best wallet,Good,exclusively best wallet
Best app in nepal .,5,2023-03-24 19:30:44,best app in nepal,Good,best app in nepal
It app is really god,5,2023-03-20 19:16:19,it app is really god,Good,it app is really god
very nice,5,2023-03-07 11:25:19,very nice,Good,very nice
Good graphics and no lagging All time good,5,2023-03-06 12:44:05,good graphics and no lagging all time good,Good,good graphics and no lagging all time good
Moru is pest for wallet,5,2023-03-04 08:49:47,moru is pest for wallet,Good,moru is pest for wallet
Good,5,2023-02-20 02:22:27,good,Good,good
Good app,5,2023-02-15 13:58:57,good app,Good,good app
good,5,2023-02-12 12:39:03,good,Good,good
"I like it, s a good app.",3,2023-02-06 10:19:35,i like it s a good app,Neutral,i like it s a good app
Very good wallet than Prabhu pay and khalti also but make competition with esewa and IME pay,5,2023-02-02 22:53:54,very good wallet than prabhu pay and khalti also but make competition with esewa and ime pay,Good,very good wallet than prabhu pay and khalti also but make competition with esewa and ime pay
easy to use nice app it help in our daily life,5,2023-01-31 18:34:06,easy to use nice app it help in our daily life,Good,easy to use nice app it help in our daily life
Keep improving. Best wishes 🙂🙂,4,2023-01-27 17:39:27,keep improving best wishes,Good,keep improving best wishes
third class aap! paisa load garda bank bata paisa katxa yeta app ma paisa dekhaudaina! lutera haru le lutna banayeko app,1,2023-01-26 11:09:46,third class aap paisa load garda bank bata paisa katxa yeta app ma paisa dekhaudaina lutera haru le lutna banayeko app,Bad,Third Class Aap Paisa Load Garda Bank Baata Paisa Katsa Yeta App Ma Paisa Dekhodaina Lootera Haru Le Lootna Banaya App
गुड,5,2023-01-24 16:45:37,गुड,Good,Good
best,5,2023-01-23 15:14:25,best,Good,best
Great 👍,5,2023-01-21 08:52:32,great,Good,great
"It is better that other digital payment services in Nepal (i.e eSewa, Khalti, etc.",5,2023-01-20 00:00:51,it is better that other digital payment services in nepal ie esewa khalti etc,Good,it is better that other digital payment services in nepal ie esewa khalti etc
"it's a better wallet then other, it's really more beneficial but little slow. hope it will be resolved soon.",4,2023-01-19 09:47:46,its a better wallet then other its really more beneficial but little slow hope it will be resolved soon,Good,its a better wallet then other its really more beneficial but little slow hope it will be resolved soon
Nice app for using us,2,2023-01-18 11:22:22,nice app for using us,Bad,nice app for using us
very good,5,2023-01-18 09:53:28,very good,Good,very good
This apps doesnot give refer money,1,2023-01-17 12:33:06,this apps doesnot give refer money,Bad,this apps doesnot give refer money
I am unable to load money directly from link bank (prabhu bank),5,2023-01-15 19:24:15,i am unable to load money directly from link bank prabhu bank,Good,i am unable to load money directly from link bank prabhu bank
low cashback,3,2023-01-15 14:16:16,low cashback,Neutral,low cashback
Bad,1,2023-01-14 08:45:26,bad,Bad,bad
Best Digital marketing service provider with affordable price ...,5,2023-01-13 14:36:59,best digital marketing service provider with affordable price,Good,best digital marketing service provider with affordable price
good apps,5,2023-01-10 23:53:23,good apps,Good,good apps
damn! good app,5,2023-01-10 20:42:23,damn good app,Good,damn good app
I will like every Things good but one this is missing pls add fone pay also 🥰,5,2023-01-03 13:47:45,i will like every things good but one this is missing pls add fone pay also,Good,i will like every things good but one this is missing pls add fone pay also
nice,5,2022-12-31 20:43:58,nice,Good,nice
wow nice 👍,5,2022-12-27 12:59:55,wow nice,Good,wow nice
How much amount we will get by refer it was not written so 1 🌟 reply for 5 🌟,1,2022-12-27 00:13:45,how much amount we will get by refer it was not written so reply for,Bad,how much amount we will get by refer it was not written so reply for
Best wallet,5,2022-12-26 20:15:02,best wallet,Good,best wallet
most useful app,3,2022-12-23 20:04:31,most useful app,Neutral,most useful app
Fantastic aap 👌👌👌❤️❤️❤️❤️,5,2022-12-23 03:56:42,fantastic aap,Good,fantastic you
not usable,1,2022-12-19 09:42:37,not usable,Bad,not usable
Good,4,2022-12-18 18:39:25,good,Good,good
nice,5,2022-12-15 19:22:52,nice,Good,nice
Good app,5,2022-12-13 21:41:38,good app,Good,good app
This is reliable wallet. It gives more bonus than others.,5,2022-12-09 23:29:37,this is reliable wallet it gives more bonus than others,Good,this is reliable wallet it gives more bonus than others
nice,3,2022-12-08 10:49:24,nice,Neutral,nice
1xbetma paisa halna milxa yo appbata,5,2022-12-04 12:41:40,xbetma paisa halna milxa yo appbata,Good,The sweater Pasa Halna Finany Play
it's really nice,5,2022-12-02 06:04:10,its really nice,Good,its really nice
It's wonderful and very easy and smooth to use.,5,2022-11-30 07:37:01,its wonderful and very easy and smooth to use,Good,its wonderful and very easy and smooth to use
Very bad app loading problem,1,2022-11-30 00:04:53,very bad app loading problem,Bad,very bad app loading problem
This is reliable wallet. It gives more bonus than others. Its one demerit that it doesn't work without the access of internet.,5,2022-11-26 13:08:39,this is reliable wallet it gives more bonus than others its one demerit that it doesnt work without the access of internet,Good,this is reliable wallet it gives more bonus than others its one demerit that it doesnt work without the access of internet
Nice app,4,2022-11-26 01:17:23,nice app,Good,nice app
Quick service 🙂,5,2022-11-22 11:03:33,quick service,Good,quick service
good,5,2022-11-17 17:36:15,good,Good,good
best service,4,2022-11-15 18:56:29,best service,Good,best service
best,5,2022-11-15 12:15:27,best,Good,best
good,5,2022-11-11 19:06:41,good,Good,good
All thing is good.Mobile topup processing is little slow than other app.,4,2022-11-11 11:58:34,all thing is goodmobile topup processing is little slow than other app,Good,all thing is goodmobile topup processing is little slow than other app
its cool!,5,2022-11-06 06:54:54,its cool,Good,its cool
op,1,2022-11-02 20:58:39,op,Bad,op
ramroo,5,2022-10-30 09:50:09,ramroo,Good,Ramroo
Nice app,5,2022-10-29 19:24:05,nice app,Good,nice app
Good app .,5,2022-10-27 16:12:14,good app,Good,good app
गूड्,3,2022-10-25 11:27:32,गूड्,Neutral,Good
good,5,2022-10-18 21:26:47,good,Good,good
Very good app . Minimal and clean UI. Smooth waklet load and fast transfer. Must have app to use on daily basis,5,2022-10-17 13:55:24,very good app minimal and clean ui smooth waklet load and fast transfer must have app to use on daily basis,Good,very good app minimal and clean ui smooth waklet load and fast transfer must have app to use on daily basis
good 👍🏻 wallet,5,2022-10-14 09:02:40,good wallet,Good,good wallet
nice apppp,1,2022-10-12 16:30:59,nice apppp,Bad,nice apppp
Money,5,2022-10-09 14:51:35,money,Good,money
