review_text,rating,date,clean_review,baseline_sentiment
Liked moru app. We can payout to other wallets too! My one suggestion-Please make possible to save the favourite payments so that no need to enter the data again.,4,2025-07-29 15:51:33,liked moru app we can payout to other wallets too my one suggestionplease make possible to save the favourite payments so that no need to enter the data again,Good
"Worst wallet in history of Nepal They block your account for nothing. To unblock they ask for police report ,statement blah blah. Dont use this app for better cashback or anything.Use esewa or khalti",1,2025-07-26 17:59:52,worst wallet in history of nepal they block your account for nothing to unblock they ask for police report statement blah blah dont use this app for better cashback or anythinguse esewa or khalti,Bad
i like this moru,5,2025-07-24 11:09:20,i like this moru,Good
no connectivity with other wallets,2,2025-07-20 21:07:08,no connectivity with other wallets,Bad
GREAT APP,5,2025-07-20 05:58:25,great app,Good
better app,5,2025-07-16 20:31:27,better app,Good
nice,5,2025-07-05 21:50:48,nice,Good
good appp,4,2025-06-09 06:26:52,good appp,Good
wow,5,2025-06-08 23:36:07,wow,Good
useful app good service,5,2025-06-08 19:00:45,useful app good service,Good
Good 👍,3,2025-06-02 22:53:30,good,Neutral
it's service is nice.But time to time come small problem.which is do disturb us in work.,2,2025-05-21 07:24:47,its service is nicebut time to time come small problemwhich is do disturb us in work,Bad
Easy to use,4,2025-05-15 16:55:36,easy to use,Good
good,5,2025-05-10 22:18:29,good,Good
Excellent,5,2025-04-29 14:35:24,excellent,Good
good wallet!,5,2025-04-26 13:42:15,good wallet,Good
very poor ànd slow work I don't like it app not a faster I am not interested moru app....,1,2025-04-22 02:37:31,very poor nd slow work i dont like it app not a faster i am not interested moru app,Bad
wow amazing app,4,2025-04-21 17:33:30,wow amazing app,Good
good 👍,5,2025-04-20 12:12:07,good,Good
ramro aap xa ta truse me yo app ramro xa🥰,1,2025-04-14 00:10:18,ramro aap xa ta truse me yo app ramro xa,Bad
very userfrindly and hidden ge,5,2025-04-12 22:51:35,very userfrindly and hidden ge,Good
very good app,5,2025-03-17 18:17:01,very good app,Good
Good 👍 wallet,5,2025-03-11 22:08:23,good wallet,Good
supper,5,2025-03-11 12:11:08,supper,Good
Only using for onexb*t 😘,5,2025-03-07 19:51:00,only using for onexbt,Good
👍 good,5,2025-03-05 11:24:53,good,Good
EXCELLENT SERVICE,5,2025-03-02 10:25:44,excellent service,Good
Till date the application is good to use with no hassle 😊😊,4,2025-03-01 15:45:17,till date the application is good to use with no hassle,Good
E-sewa is not working 😞😞😞😞😞,1,2025-02-20 20:14:16,esewa is not working,Bad
Very easy to use and a trusted e-wallet in Nepal.,5,2025-02-10 14:21:40,very easy to use and a trusted ewallet in nepal,Good
aru digital wallet ma jasto kyc verification ko lagi dherai jhanjhat xaina esewa khalti ime pay sabai try gareko thiye tar tiniharuma kyc verification garna sarai nai garho bhayo kaile document clear bhayena bhaner kyc verify nagarne kaile purano I'd ma use bhaisakeko xa bhanne jab ki Mero document ko photo Pani clear thiyo ra purano number Pani block bhaisakeko thiyo tyati Huda Pani kyc ko firm khali rejected tar Moru app ma yasto bhayena kyc update Pani ramro sanga bhayo thank you Moru,5,2025-02-08 10:34:06,aru digital wallet ma jasto kyc verification ko lagi dherai jhanjhat xaina esewa khalti ime pay sabai try gareko thiye tar tiniharuma kyc verification garna sarai nai garho bhayo kaile document clear bhayena bhaner kyc verify nagarne kaile purano id ma use bhaisakeko xa bhanne jab ki mero document ko photo pani clear thiyo ra purano number pani block bhaisakeko thiyo tyati huda pani kyc ko firm khali rejected tar moru app ma yasto bhayena kyc update pani ramro sanga bhayo thank you moru,Good
Good,3,2025-02-05 10:12:36,good,Neutral
nice wallet,5,2025-01-22 11:25:50,nice wallet,Good
Smooth apps for transactions in Nepal,5,2025-01-18 17:40:02,smooth apps for transactions in nepal,Good
"Wow, Amazing. The features are Good and Bank transfer is free of charge . We also can get bonus From transcation . THIS IS INSANELY GOOD. THANK YOU FOR THIS AMAZING APPLICATION. KEEP GOING MORU ...",5,2025-01-17 19:30:08,wow amazing the features are good and bank transfer is free of charge we also can get bonus from transcation this is insanely good thank you for this amazing application keep going moru,Good
nice app,5,2025-01-13 11:32:20,nice app,Good
❤️,5,2025-01-12 20:22:34,,Good
good app,5,2025-01-04 20:32:04,good app,Good
Scammer,1,2024-12-30 16:50:45,scammer,Bad
nice,5,2024-12-29 16:13:58,nice,Good
good facilities and vip incentives 🙏💚,5,2024-12-26 12:33:55,good facilities and vip incentives,Good
this app is good but this app doesn't have machhapuchchhre bank link 🔗 option 🔗🥹🥹🤲🤲,1,2024-12-25 22:42:42,this app is good but this app doesnt have machhapuchchhre bank link option,Bad
Good nepali wallet.topup cashback is very nice.,5,2024-12-25 19:05:16,good nepali wallettopup cashback is very nice,Good
not usefull,1,2024-12-24 22:42:04,not usefull,Bad
exactly excellent,5,2024-12-17 11:34:04,exactly excellent,Good
Careless. Costumer lai ghumauna matra aauxa.,1,2024-12-10 22:24:12,careless costumer lai ghumauna matra aauxa,Bad
okay,5,2024-12-07 12:36:01,okay,Good
This is truly awesome 🌿🌿,5,2024-12-05 12:17:29,this is truly awesome,Good
Exciting Cashback from Moru.,5,2024-12-01 06:33:12,exciting cashback from moru,Good
"nice and useful ,convinient",4,2024-11-25 18:02:18,nice and useful convinient,Good
good appp and 5 ster,5,2024-11-20 19:58:09,good appp and ster,Good
Good working,5,2024-11-14 16:15:28,good working,Good
good very good inventions,2,2024-11-11 14:59:22,good very good inventions,Bad
nice,5,2024-10-30 05:44:45,nice,Good
😍😍,5,2024-10-23 17:01:27,,Good
Moru digital wallet is good app .l like and love it because it gives bonus in each topup pay bills data pack etc.,5,2024-10-19 20:51:44,moru digital wallet is good app l like and love it because it gives bonus in each topup pay bills data pack etc,Good
ok,5,2024-10-17 11:51:35,ok,Good
good wallet,5,2024-10-13 11:04:23,good wallet,Good
good 👍,5,2024-10-06 21:44:15,good,Good
This is just an amazing apps. This app's qr need to accept payment from mobile banking app 🙏,5,2024-10-02 19:51:14,this is just an amazing apps this apps qr need to accept payment from mobile banking app,Good
Good,4,2024-10-02 18:09:04,good,Good
Everything is good but we are unable to receive money from other wallet. So please add the feature to receive money from other wallet and introduce smart QR that can be accepted by other wallets,4,2024-09-23 20:43:01,everything is good but we are unable to receive money from other wallet so please add the feature to receive money from other wallet and introduce smart qr that can be accepted by other wallets,Good
nice,5,2024-09-13 19:30:20,nice,Good
nice,5,2024-09-11 09:42:45,nice,Good
Nice,3,2024-09-05 08:58:44,nice,Neutral
"Weak security, got hacked, lost all money.",1,2024-08-29 17:44:09,weak security got hacked lost all money,Bad
Worst wallet blc load garda blc nai aaudina,1,2024-08-26 07:39:57,worst wallet blc load garda blc nai aaudina,Bad
good,4,2024-08-25 20:48:59,good,Good
best,5,2024-08-18 14:21:08,best,Good
Ma yes Lai 1 star dinxu guys refer garyako paisa nai didaina Rs 4 ta ani tapai Haru thulo transition KO lagii kasrii trust garnu hunxa Rs 4 Rs 6 ta di rakhayako xaina ani refer offer chai lagyako xa 😡,1,2024-08-17 15:47:14,ma yes lai star dinxu guys refer garyako paisa nai didaina rs ta ani tapai haru thulo transition ko lagii kasrii trust garnu hunxa rs rs ta di rakhayako xaina ani refer offer chai lagyako xa,Bad
Better than esewa and khalti..,5,2024-08-17 10:39:02,better than esewa and khalti,Good
If I could give a negative star then I would paisa load nai vayena,1,2024-08-15 08:40:48,if i could give a negative star then i would paisa load nai vayena,Bad
best wallet,5,2024-08-11 14:18:04,best wallet,Good
"Ma moru Dainik prayog kartaa hu, moru payment send successful pach announcement garcha ni tyo ekdam ramro lagcha. Tara, minimum bank transfer chai 200 kina? Yaslai ghataera customise garnuhos kina ki sano sano Rakam Pani bankma jamma garna (pathauna) sakiyos. (Baki rating pachi bichar garaula) Thank you.",3,2024-08-02 01:33:59,ma moru dainik prayog kartaa hu moru payment send successful pach announcement garcha ni tyo ekdam ramro lagcha tara minimum bank transfer chai kina yaslai ghataera customise garnuhos kina ki sano sano rakam pani bankma jamma garna pathauna sakiyos baki rating pachi bichar garaula thank you,Neutral
"How to say that this app is good, everyone should use this app",5,2024-07-30 22:03:50,how to say that this app is good everyone should use this app,Good
good,1,2024-07-28 06:21:26,good,Bad
Nice 👍👍👍👍,4,2024-07-25 12:37:46,nice,Good
best,5,2024-07-19 07:08:47,best,Good
"I got a 3% bonus on my top-up, and the payout feature is really useful.",5,2024-07-16 15:31:14,i got a bonus on my topup and the payout feature is really useful,Good
Very nice cash back.Im continue using the moru wallet.i like it love you moru.,5,2024-07-11 14:23:08,very nice cash backim continue using the moru walleti like it love you moru,Good
good wallet,5,2024-07-08 17:11:59,good wallet,Good
Very good keep it up,5,2024-07-07 20:27:33,very good keep it up,Good
I love this app,5,2024-07-01 09:33:54,i love this app,Good
best app love you topup cash 3% many wallet trancefer,3,2024-06-29 10:58:03,best app love you topup cash many wallet trancefer,Neutral
Easy to load & richarge this is awesome app !,5,2024-06-14 10:34:11,easy to load richarge this is awesome app,Good
good but add all the banks to link and to load,5,2024-06-07 08:29:17,good but add all the banks to link and to load,Good
good,4,2024-06-01 10:13:47,good,Good
Didn't singup work,2,2024-05-31 16:58:06,didnt singup work,Bad
"Moru Pay is a great application, it is very beneficial for the general public to do business with each other.",4,2024-05-29 12:44:12,moru pay is a great application it is very beneficial for the general public to do business with each other,Good
nice,4,2024-05-20 17:57:52,nice,Good
everything is going well.,5,2024-05-19 16:41:55,everything is going well,Good
nice,5,2024-05-01 21:12:50,nice,Good
good,5,2024-05-01 16:15:26,good,Good
qr not velid,5,2024-04-23 12:12:01,qr not velid,Good
nice,5,2024-04-20 13:37:08,nice,Good
Nice one,5,2024-03-29 20:59:04,nice one,Good
good,5,2024-03-24 14:04:19,good,Good
great app,5,2024-03-20 20:43:21,great app,Good
Top up garnako lagi sabaivanda ramro cashback pain painxa Malaita moru pay dherai ramro lagewo,5,2024-03-04 18:40:59,top up garnako lagi sabaivanda ramro cashback pain painxa malaita moru pay dherai ramro lagewo,Good
It's useful and awesome.,5,2024-02-06 02:57:43,its useful and awesome,Good
Great moru,1,2024-01-28 11:22:24,great moru,Bad
Great apo,5,2024-01-26 21:29:36,great apo,Good
This app deserves 5 star but in my general experience of using in day to day life I faced problem while doing transactions because you have not because Fonepay is not your partner which leading in Nepal so please try to connect it with Fonepay for indigenous experience,3,2024-01-25 05:56:13,this app deserves star but in my general experience of using in day to day life i faced problem while doing transactions because you have not because fonepay is not your partner which leading in nepal so please try to connect it with fonepay for indigenous experience,Neutral
Good to use,5,2024-01-21 22:04:04,good to use,Good
love it by its feature,5,2023-12-30 20:16:29,love it by its feature,Good
Good app,5,2023-12-27 23:14:11,good app,Good
Good,5,2023-12-25 17:19:29,good,Good
useful wallet,4,2023-12-22 11:29:04,useful wallet,Good
The security of moru app is not good it create more problems while doing transactions of money while sending and login problems The security of biometric is not working in app and creating alot of problems please increase amount from 2 rupees to 25 to join more members in moru app 🙏,3,2023-12-19 07:58:27,the security of moru app is not good it create more problems while doing transactions of money while sending and login problems the security of biometric is not working in app and creating alot of problems please increase amount from rupees to to join more members in moru app,Neutral
good,5,2023-12-01 13:50:11,good,Good
Very good service,5,2023-10-30 19:01:27,very good service,Good
thikai chha not bad,3,2023-10-29 21:18:54,thikai chha not bad,Neutral
upto scam,1,2023-10-21 22:56:40,upto scam,Bad
ok,5,2023-10-18 10:11:41,ok,Good
Theres no proper response to customer.,1,2023-10-11 11:05:56,theres no proper response to customer,Bad
nice 👍👍👍👍👍,3,2023-10-07 08:33:41,nice,Neutral
Good,5,2023-10-06 08:35:23,good,Good
very nice app,5,2023-10-03 12:57:43,very nice app,Good
excellent,5,2023-10-03 12:52:05,excellent,Good
Good apps,5,2023-09-16 19:02:40,good apps,Good
good apps,5,2023-09-07 16:08:40,good apps,Good
Best wallet in nepal,5,2023-09-07 11:29:51,best wallet in nepal,Good
Needs to add more utilities,3,2023-08-29 23:40:25,needs to add more utilities,Neutral
good,2,2023-08-21 13:21:27,good,Bad
Sir citizens bank 🔗 Link garnu,5,2023-08-18 16:17:01,sir citizens bank link garnu,Good
good wallet,5,2023-08-16 07:14:27,good wallet,Good
brilliant,5,2023-08-14 10:43:43,brilliant,Good
good,5,2023-08-12 11:39:51,good,Good
good and best service of customer,5,2023-08-06 06:15:20,good and best service of customer,Good
very good,5,2023-08-02 17:18:40,very good,Good
One of the top best wallet at nepal so all people use this app👍👍👍👍,5,2023-07-24 11:39:35,one of the top best wallet at nepal so all people use this app,Good
Great mobile wallet. But has limited bank link options.,5,2023-07-17 22:48:15,great mobile wallet but has limited bank link options,Good
One of the best wallet app in nepal which i ever use and seen This app is very useful for mobile topup .,5,2023-07-10 22:22:58,one of the best wallet app in nepal which i ever use and seen this app is very useful for mobile topup,Good
"Bank haru sang link hunu paryo ajh jhan balyo banaunu paryo,Ani offer haru lyaunu paryo",5,2023-07-09 22:02:12,bank haru sang link hunu paryo ajh jhan balyo banaunu paryoani offer haru lyaunu paryo,Good
Best wallet for nepal,5,2023-07-07 20:10:15,best wallet for nepal,Good
nice very helpful app,5,2023-07-04 12:19:22,nice very helpful app,Good
बबाल,5,2023-07-01 10:04:05,बबाल,Good
good for mobile topup,4,2023-06-30 01:06:50,good for mobile topup,Good
i like it,5,2023-06-22 14:47:44,i like it,Good
Like,5,2023-06-22 10:24:39,like,Good
nice 👍👍👍,5,2023-06-19 17:25:02,nice,Good
that is bestapp,4,2023-06-08 18:02:19,that is bestapp,Good
Just scam didn't give refer,1,2023-06-05 22:18:55,just scam didnt give refer,Bad
One of the best wallets with no exaggeration yet committed to customers!!,5,2023-06-05 22:11:39,one of the best wallets with no exaggeration yet committed to customers,Good
it a magic app,5,2023-06-03 12:11:59,it a magic app,Good
Nice wallet,3,2023-05-28 11:58:02,nice wallet,Neutral
MD Faisal Sale,5,2023-05-27 01:38:14,md faisal sale,Good
Nice app,3,2023-05-26 20:04:53,nice app,Neutral
ok,1,2023-05-12 19:49:46,ok,Bad
nice sir my favorite,5,2023-05-12 18:37:26,nice sir my favorite,Good
This wallet solved my problems that others didn't,5,2023-05-08 15:27:17,this wallet solved my problems that others didnt,Good
Worst customer service.,1,2023-05-02 21:45:04,worst customer service,Bad
wow verry nich,4,2023-05-02 15:34:27,wow verry nich,Good
Excellent Service,5,2023-04-28 18:01:03,excellent service,Good
goooood,5,2023-04-28 08:55:27,goooood,Good
good service,5,2023-04-26 10:51:31,good service,Good
best wallet,5,2023-04-24 19:43:11,best wallet,Good
"Nepal ma Dherai wallet chan,Euta bhata Arko ma payment garna Ali garo Cha jasto lagcha,Unified tarika le chalne bhaya ramro hunthyo ki,",5,2023-04-22 18:47:48,nepal ma dherai wallet chaneuta bhata arko ma payment garna ali garo cha jasto lagchaunified tarika le chalne bhaya ramro hunthyo ki,Good
nice,3,2023-04-03 10:24:17,nice,Neutral
Worst customer support rude and irresponsible. Not responding on whatsapp and mail.,1,2023-03-26 11:14:30,worst customer support rude and irresponsible not responding on whatsapp and mail,Bad
Exclusively Best Wallet,5,2023-03-25 09:47:15,exclusively best wallet,Good
Best app in nepal .,5,2023-03-24 19:30:44,best app in nepal,Good
It app is really god,5,2023-03-20 19:16:19,it app is really god,Good
very nice,5,2023-03-07 11:25:19,very nice,Good
Good graphics and no lagging All time good,5,2023-03-06 12:44:05,good graphics and no lagging all time good,Good
Moru is pest for wallet,5,2023-03-04 08:49:47,moru is pest for wallet,Good
Good,5,2023-02-20 02:22:27,good,Good
Good app,5,2023-02-15 13:58:57,good app,Good
good,5,2023-02-12 12:39:03,good,Good
"I like it, s a good app.",3,2023-02-06 10:19:35,i like it s a good app,Neutral
Very good wallet than Prabhu pay and khalti also but make competition with esewa and IME pay,5,2023-02-02 22:53:54,very good wallet than prabhu pay and khalti also but make competition with esewa and ime pay,Good
easy to use nice app it help in our daily life,5,2023-01-31 18:34:06,easy to use nice app it help in our daily life,Good
Keep improving. Best wishes 🙂🙂,4,2023-01-27 17:39:27,keep improving best wishes,Good
third class aap! paisa load garda bank bata paisa katxa yeta app ma paisa dekhaudaina! lutera haru le lutna banayeko app,1,2023-01-26 11:09:46,third class aap paisa load garda bank bata paisa katxa yeta app ma paisa dekhaudaina lutera haru le lutna banayeko app,Bad
गुड,5,2023-01-24 16:45:37,गुड,Good
best,5,2023-01-23 15:14:25,best,Good
Great 👍,5,2023-01-21 08:52:32,great,Good
"It is better that other digital payment services in Nepal (i.e eSewa, Khalti, etc.",5,2023-01-20 00:00:51,it is better that other digital payment services in nepal ie esewa khalti etc,Good
"it's a better wallet then other, it's really more beneficial but little slow. hope it will be resolved soon.",4,2023-01-19 09:47:46,its a better wallet then other its really more beneficial but little slow hope it will be resolved soon,Good
Nice app for using us,2,2023-01-18 11:22:22,nice app for using us,Bad
very good,5,2023-01-18 09:53:28,very good,Good
This apps doesnot give refer money,1,2023-01-17 12:33:06,this apps doesnot give refer money,Bad
I am unable to load money directly from link bank (prabhu bank),5,2023-01-15 19:24:15,i am unable to load money directly from link bank prabhu bank,Good
low cashback,3,2023-01-15 14:16:16,low cashback,Neutral
Bad,1,2023-01-14 08:45:26,bad,Bad
Best Digital marketing service provider with affordable price ...,5,2023-01-13 14:36:59,best digital marketing service provider with affordable price,Good
good apps,5,2023-01-10 23:53:23,good apps,Good
damn! good app,5,2023-01-10 20:42:23,damn good app,Good
I will like every Things good but one this is missing pls add fone pay also 🥰,5,2023-01-03 13:47:45,i will like every things good but one this is missing pls add fone pay also,Good
nice,5,2022-12-31 20:43:58,nice,Good
wow nice 👍,5,2022-12-27 12:59:55,wow nice,Good
How much amount we will get by refer it was not written so 1 🌟 reply for 5 🌟,1,2022-12-27 00:13:45,how much amount we will get by refer it was not written so reply for,Bad
Best wallet,5,2022-12-26 20:15:02,best wallet,Good
most useful app,3,2022-12-23 20:04:31,most useful app,Neutral
Fantastic aap 👌👌👌❤️❤️❤️❤️,5,2022-12-23 03:56:42,fantastic aap,Good
not usable,1,2022-12-19 09:42:37,not usable,Bad
Good,4,2022-12-18 18:39:25,good,Good
nice,5,2022-12-15 19:22:52,nice,Good
Good app,5,2022-12-13 21:41:38,good app,Good
This is reliable wallet. It gives more bonus than others.,5,2022-12-09 23:29:37,this is reliable wallet it gives more bonus than others,Good
nice,3,2022-12-08 10:49:24,nice,Neutral
1xbetma paisa halna milxa yo appbata,5,2022-12-04 12:41:40,xbetma paisa halna milxa yo appbata,Good
it's really nice,5,2022-12-02 06:04:10,its really nice,Good
It's wonderful and very easy and smooth to use.,5,2022-11-30 07:37:01,its wonderful and very easy and smooth to use,Good
Very bad app loading problem,1,2022-11-30 00:04:53,very bad app loading problem,Bad
This is reliable wallet. It gives more bonus than others. Its one demerit that it doesn't work without the access of internet.,5,2022-11-26 13:08:39,this is reliable wallet it gives more bonus than others its one demerit that it doesnt work without the access of internet,Good
Nice app,4,2022-11-26 01:17:23,nice app,Good
Quick service 🙂,5,2022-11-22 11:03:33,quick service,Good
good,5,2022-11-17 17:36:15,good,Good
best service,4,2022-11-15 18:56:29,best service,Good
best,5,2022-11-15 12:15:27,best,Good
good,5,2022-11-11 19:06:41,good,Good
All thing is good.Mobile topup processing is little slow than other app.,4,2022-11-11 11:58:34,all thing is goodmobile topup processing is little slow than other app,Good
its cool!,5,2022-11-06 06:54:54,its cool,Good
op,1,2022-11-02 20:58:39,op,Bad
ramroo,5,2022-10-30 09:50:09,ramroo,Good
Nice app,5,2022-10-29 19:24:05,nice app,Good
Good app .,5,2022-10-27 16:12:14,good app,Good
गूड्,3,2022-10-25 11:27:32,गूड्,Neutral
good,5,2022-10-18 21:26:47,good,Good
Very good app . Minimal and clean UI. Smooth waklet load and fast transfer. Must have app to use on daily basis,5,2022-10-17 13:55:24,very good app minimal and clean ui smooth waklet load and fast transfer must have app to use on daily basis,Good
good 👍🏻 wallet,5,2022-10-14 09:02:40,good wallet,Good
nice apppp,1,2022-10-12 16:30:59,nice apppp,Bad
Money,5,2022-10-09 14:51:35,money,Good
nice application,5,2022-10-02 10:06:19,nice application,Good
I like it's app.,5,2022-09-29 20:43:52,i like its app,Good
right,2,2022-09-29 06:53:14,right,Bad
good,3,2022-09-27 08:49:24,good,Neutral
giod,5,2022-09-27 00:11:32,giod,Good
ramro apps,5,2022-09-26 09:44:23,ramro apps,Good
good,1,2022-09-19 11:01:07,good,Bad
It's Just Awesome 😊,4,2022-09-16 19:48:30,its just awesome,Good
supper,5,2022-09-16 05:03:19,supper,Good
please someone bonus give me,5,2022-09-15 06:47:22,please someone bonus give me,Good
very useful appp,5,2022-09-14 10:46:17,very useful appp,Good
xupop,1,2022-09-10 14:38:48,xupop,Bad
best,5,2022-09-07 14:49:33,best,Good
धेरै राम्रो,5,2022-09-07 14:03:27,धेरै राम्रो,Good
Easy to use but not popular like esewa and khalti,5,2022-09-07 12:22:07,easy to use but not popular like esewa and khalti,Good
Will moru add Kathmandu Upatyaka khanepani payment in its app? As esewa and khalti has already added this payment option.,4,2022-09-06 19:28:07,will moru add kathmandu upatyaka khanepani payment in its app as esewa and khalti has already added this payment option,Good
Not all Banks are part of the MORU System. Sunrise and SBI Bank chaina in the system. Until then 1 star.,1,2022-09-05 17:54:57,not all banks are part of the moru system sunrise and sbi bank chaina in the system until then star,Bad
Very good,5,2022-09-02 03:25:49,very good,Good
"Moru apps is very , good profomus,, And good system too",5,2022-08-30 12:15:10,moru apps is very good profomus and good system too,Good
nice app,5,2022-08-16 00:06:54,nice app,Good
great,5,2022-08-14 17:24:48,great,Good
How can i change my mobile number ?,4,2022-08-11 18:40:51,how can i change my mobile number,Good
Bank transfer is not full free .when totly free bank transfer iwill download,2,2022-08-09 20:28:29,bank transfer is not full free when totly free bank transfer iwill download,Bad
Low service internet connection low not good application please not use application,1,2022-08-09 19:55:35,low service internet connection low not good application please not use application,Bad
"Very poor service ,no response many time, transfer fall due to there server down amt deduct in a/c but amt didn't transfer and many more problem",1,2022-08-07 16:40:42,very poor service no response many time transfer fall due to there server down amt deduct in ac but amt didnt transfer and many more problem,Bad
good app use for it,4,2022-08-07 06:45:34,good app use for it,Good
banking transfer system QR code Bata hune banaunu paro sir Aru tw thikai x,4,2022-08-06 07:53:56,banking transfer system qr code bata hune banaunu paro sir aru tw thikai x,Good
"Easy to use and fast service. Wow! In my experience, it is the best mobile wallet.",5,2022-08-04 21:58:12,easy to use and fast service wow in my experience it is the best mobile wallet,Good
My neme is bimal thapa,1,2022-08-01 14:22:12,my neme is bimal thapa,Bad
nice,5,2022-07-31 11:02:01,nice,Good
not working app,1,2022-07-31 10:13:51,not working app,Bad
Nice wallet apps,5,2022-07-30 08:36:17,nice wallet apps,Good
ahh,5,2022-07-27 12:42:45,ahh,Good
Don't use this . Very bad app. Refer and Earn is not working.,1,2022-07-26 09:56:15,dont use this very bad app refer and earn is not working,Bad
nice app,5,2022-07-24 18:56:31,nice app,Good
best,5,2022-07-08 13:29:53,best,Good
"I can't login to my account . Tried it so many times , used my another phone (oneplus nord) to check whether there was fault on my previous phone .",1,2022-06-28 11:04:03,i cant login to my account tried it so many times used my another phone oneplus nord to check whether there was fault on my previous phone,Bad
Good service,4,2022-06-22 20:37:42,good service,Good
good,4,2022-06-19 18:18:50,good,Good
not good actually i install it for to pay my electricity bill but its not working,5,2022-06-15 14:57:01,not good actually i install it for to pay my electricity bill but its not working,Good
Bank transfer charge,1,2022-06-10 15:02:45,bank transfer charge,Bad
𝑃𝑟𝑜𝑏𝑙𝑒𝑚.𝑏𝑎𝑙𝑎𝑛𝑐𝑒 𝑡𝑟𝑎𝑛𝑠𝑓𝑒𝑟 𝑠𝑙𝑜𝑣𝑒 𝑓𝑎𝑠𝑡,2,2022-06-09 10:20:30,,Bad
राम्रो लाग्यो ।,5,2022-06-07 10:22:46,राम्रो लाग्यो ।,Good
Please add more banks to link account.i am new to this app.,5,2022-06-06 23:55:23,please add more banks to link accounti am new to this app,Good
good,4,2022-05-30 18:07:49,good,Good
very good,5,2022-05-30 13:37:05,very good,Good
Nice,3,2022-05-28 17:26:15,nice,Neutral
Good digital wallet Need more improvement Add different % on payment,4,2022-05-26 12:49:53,good digital wallet need more improvement add different on payment,Good
best apps,2,2022-05-20 13:03:05,best apps,Bad
need to develop more thinks we need to make easy way to lod money from any bank from al online m banking,5,2022-05-11 12:16:59,need to develop more thinks we need to make easy way to lod money from any bank from al online m banking,Good
This apps totally fake,1,2022-05-05 21:10:53,this apps totally fake,Bad
very nice,5,2022-05-02 07:46:28,very nice,Good
Why I am not recieving money even I have referred 2 friends using my code.I tried so much but I cant even recieve money.plz reply,1,2022-04-30 12:39:30,why i am not recieving money even i have referred friends using my codei tried so much but i cant even recieve moneyplz reply,Bad
very good,5,2022-04-21 21:10:52,very good,Good
super,5,2022-04-21 09:10:14,super,Good
nice Wallet,5,2022-04-19 06:37:30,nice wallet,Good
Nice,4,2022-04-18 11:40:55,nice,Good
This is useless app . It scams people in the name of offer . I suggest not to do any transaction through this app.,1,2022-04-15 21:17:16,this is useless app it scams people in the name of offer i suggest not to do any transaction through this app,Bad
20% cashback dekhayera 3% matra dinxa,1,2022-04-15 11:08:12,cashback dekhayera matra dinxa,Bad
Khatra,5,2022-04-09 18:59:49,khatra,Good
good,3,2022-04-06 21:33:12,good,Neutral
Good 👍,5,2022-04-05 22:38:16,good,Good
nice,5,2022-04-04 21:46:21,nice,Good
nice,5,2022-04-03 08:30:11,nice,Good
Love it,4,2022-04-01 08:16:33,love it,Good
nice one,4,2022-03-31 08:37:19,nice one,Good
thanks for wonderful moru app..,5,2022-03-30 23:04:00,thanks for wonderful moru app,Good
